"ANIMALID","DATE","LONGITUDE","LATITUDE","DELETED"
"Janie","2010-07-01 00:21:00.000","141.71","-12.227","FALSE"
"Janie","2010-07-01 04:23:00.000","141.708","-12.215","FALSE"
"Janie","2010-07-01 17:30:00.000","141.717","-12.234","FALSE"
"Janie","2010-07-02 15:37:00.000","141.692","-12.206","FALSE"
"Janie","2010-07-02 20:20:00.000","141.694","-12.203","FALSE"
"Janie","2010-07-02 20:24:00.000","141.69","-12.198","FALSE"
"Janie","2010-07-02 22:49:00.000","141.654","-12.183","FALSE"
"Janie","2010-07-02 23:36:00.000","141.703","-12.197","FALSE"
"Janie","2010-07-03 00:25:00.000","141.69","-12.197","FALSE"
"Janie","2010-07-03 04:03:00.000","141.682","-12.197","FALSE"
"Janie","2010-07-03 04:15:00.000","141.682","-12.197","FALSE"
"Janie","2010-07-03 05:44:00.000","141.683","-12.196","FALSE"
"Janie","2010-07-03 08:57:00.000","141.697","-12.172","FALSE"
"Janie","2010-07-03 10:25:00.000","141.705","-12.166","FALSE"
"Janie","2010-07-03 11:18:00.000","141.71","-12.165","FALSE"
"Janie","2010-07-03 12:03:00.000","141.711","-12.162","FALSE"
"Janie","2010-07-03 15:15:00.000","141.695","-12.176","FALSE"
"Janie","2010-07-03 15:24:00.000","141.7","-12.179","FALSE"
"Janie","2010-07-03 16:56:00.000","141.686","-12.188","FALSE"
"Janie","2010-07-03 17:09:00.000","141.687","-12.19","FALSE"
"Janie","2010-07-03 18:20:00.000","141.684","-12.19","FALSE"
"Janie","2010-07-03 20:01:00.000","141.68","-12.186","FALSE"
"Janie","2010-07-03 20:10:00.000","141.684","-12.184","FALSE"
"Janie","2010-07-03 21:31:00.000","141.691","-12.171","FALSE"
"Janie","2010-07-03 21:46:00.000","141.679","-12.176","FALSE"
"Janie","2010-07-03 22:26:00.000","141.678","-12.178","FALSE"
"Janie","2010-07-04 00:49:00.000","141.665","-12.177","FALSE"
"Janie","2010-07-04 04:08:00.000","141.657","-12.168","FALSE"
"Janie","2010-07-04 05:33:00.000","141.654","-12.161","FALSE"
"Janie","2010-07-04 05:45:00.000","141.656","-12.16","FALSE"
"Janie","2010-07-04 06:51:00.000","141.656","-12.15","FALSE"
"Janie","2010-07-04 08:31:00.000","141.668","-12.134","FALSE"
"Janie","2010-07-04 08:46:00.000","141.665","-12.129","FALSE"
"Janie","2010-07-04 10:01:00.000","141.678","-12.11","FALSE"
"Janie","2010-07-04 10:24:00.000","141.658","-12.117","FALSE"
"Janie","2010-07-04 11:45:00.000","141.656","-12.12","FALSE"
"Janie","2010-07-04 12:37:00.000","141.671","-12.116","FALSE"
"Janie","2010-07-04 15:05:00.000","141.66","-12.126","FALSE"
"Janie","2010-07-04 15:17:00.000","141.658","-12.126","FALSE"
"Janie","2010-07-04 16:47:00.000","141.652","-12.132","FALSE"
"Janie","2010-07-04 16:57:00.000","141.649","-12.132","FALSE"
"Janie","2010-07-04 20:00:00.000","141.64","-12.127","FALSE"
"Janie","2010-07-04 21:37:00.000","141.643","-12.116","FALSE"
"Janie","2010-07-04 22:46:00.000","141.647","-12.111","FALSE"
"Janie","2010-07-04 23:39:00.000","141.641","-12.106","FALSE"
"Janie","2010-07-05 05:22:00.000","141.614","-12.101","FALSE"
"Janie","2010-07-05 05:34:00.000","141.615","-12.097","FALSE"
"Janie","2010-07-05 06:30:00.000","141.607","-12.091","FALSE"
"Janie","2010-07-05 08:04:00.000","141.618","-12.074","FALSE"
"Janie","2010-07-05 10:36:00.000","141.613","-12.049","FALSE"
"Janie","2010-07-05 11:18:00.000","141.614","-12.039","FALSE"
"Janie","2010-07-05 12:12:00.000","141.76","-11.95","TRUE"
"Janie","2010-07-05 12:58:00.000","141.616","-12.025","FALSE"
"Janie","2010-07-05 16:51:00.000","141.619","-12.016","FALSE"
"Janie","2010-07-05 17:33:00.000","141.604","-12.01","FALSE"
"Janie","2010-07-05 19:13:00.000","141.594","-12.008","FALSE"
"Janie","2010-07-05 19:41:00.000","141.487","-11.938","TRUE"
"Janie","2010-07-05 21:26:00.000","141.604","-12.0","FALSE"
"Janie","2010-07-05 22:23:00.000","141.611","-11.989","FALSE"
"Janie","2010-07-05 23:22:00.000","141.607","-11.973","FALSE"
"Janie","2010-07-06 01:03:00.000","141.602","-11.964","FALSE"
"Janie","2010-07-06 03:32:00.000","141.599","-11.938","FALSE"
"Janie","2010-07-06 03:41:00.000","141.598","-11.937","FALSE"
"Janie","2010-07-06 05:10:00.000","141.597","-11.922","FALSE"
"Janie","2010-07-06 07:43:00.000","141.591","-11.903","FALSE"
"Janie","2010-07-06 08:22:00.000","141.585","-11.895","FALSE"
"Janie","2010-07-06 10:02:00.000","141.588","-11.876","FALSE"
"Janie","2010-07-06 10:53:00.000","141.584","-11.863","FALSE"
"Janie","2010-07-06 11:56:00.000","141.582","-11.857","FALSE"
"Janie","2010-07-06 12:34:00.000","141.587","-11.849","FALSE"
